feature,classifier,fold,accuracy,low_recall,med_recall,high_recall
Fragment identity,RF,0,0.664638511095204,0.37524557956778,0.6559849198868991,0.7924836601307189
Fragment identity,RF,1,0.6759756534192625,0.3889980353634578,0.6641509433962264,0.8055555555555556
Fragment identity,RF,2,0.6688148943788041,0.41453831041257366,0.6349056603773585,0.803921568627451
Fragment identity,RF,3,0.6715616045845272,0.4153543307086614,0.6339622641509434,0.8104575163398693
Fragment identity,RF,4,0.6811178788964529,0.4251968503937008,0.6584905660377358,0.8070318887980377
Fragment identity,KNN,0,0.5436649964209019,0.20235756385068762,0.5758718190386428,0.6576797385620915
Fragment identity,KNN,1,0.5259577515216612,0.18860510805500982,0.5613207547169812,0.6356209150326797
Fragment identity,KNN,2,0.5349087003222341,0.21414538310412573,0.5330188679245284,0.6699346405228758
Fragment identity,KNN,3,0.5436962750716332,0.2125984251968504,0.5452830188679245,0.6797385620915033
Fragment identity,KNN,4,0.5288427087065568,0.1968503937007874,0.55,0.6484055600981193
AA identity,RF,0,0.46277738010021474,0.20235756385068762,0.45617342130065974,0.576797385620915
AA identity,RF,1,0.46795560329394914,0.2220039292730845,0.4207547169811321,0.6111111111111112
AA identity,RF,2,0.4590046544933763,0.206286836935167,0.4358490566037736,0.5841503267973857
AA identity,RF,3,0.4487822349570201,0.24015748031496062,0.41320754716981134,0.5661764705882353
AA identity,RF,4,0.463274811895378,0.2263779527559055,0.44339622641509435,0.5789043336058871
AA identity,KNN,0,0.4778095919828203,0.18860510805500982,0.4655984919886899,0.6086601307189542
AA identity,KNN,1,0.48943788041532404,0.1807465618860511,0.480188679245283,0.6258169934640523
AA identity,KNN,2,0.4908700322234157,0.16895874263261296,0.5075471698113208,0.6102941176470589
AA identity,KNN,3,0.4931948424068768,0.23622047244094488,0.4537735849056604,0.6339869281045751
AA identity,KNN,4,0.48656395557147974,0.20669291338582677,0.4641509433962264,0.6222403924775143
Codon identity,RF,0,0.7061560486757337,0.4793713163064833,0.6776625824693685,0.8251633986928104
