feature,coef,se,z,p_value,OR
dG_cds_only,-0.3062233405676473,0.022215309005375376,-13.784338561014446,3.1665554216600846e-43,0.7362221728149896
dG_cds_16_55,-0.2672623066753572,0.018043292879115002,-14.812280023715164,1.2202977408732471e-49,0.7654722566462725
avg_CAI,0.18619229732425488,0.023803095976741892,7.82218823577337,5.191290315859417e-15,1.204653889825721
avg_comp_sim,0.12507563081938478,0.027561273169242975,4.538093362064385,5.67651294876238e-06,1.1332341572537143
has_repeat,-0.12038321685235019,0.10049746607082054,-1.1978731560009301,0.23096640168096827,0.8865806189752151
site1_TI_2,0.09862943344379141,0.019211300241349035,5.13392806341699,2.8375659037411144e-07,1.1036572453080218
avg_identity,0.08863967269960894,0.03688507736136675,2.4031309960718614,0.01625536327491128,1.092686860476285
gc_content,0.08516773272915035,0.017715717113888807,4.807467413350169,1.52854324523101e-06,1.088899695499254
total_length,-0.07483462568450142,0.018789521785058678,-3.9827850086109957,6.811236689695336e-05,0.9278969239595346
max_frag_repeat,0.07282330817623842,0.1611552486801296,0.4518829437617784,0.6513533124334043,1.075540480915425
min_CAI,0.035919784997885736,0.02323057899967607,1.5462285721929965,0.12204937537713066,1.03657269447507
n_unique_frags,0.008954432861797389,0.1299956025363049,0.0688825828496515,0.9450830824580305,1.0089946437279553
min_identity,-0.007597291024556801,0.030712582240767818,-0.24736738073662112,0.8046239162626123,0.9924314954450401
