feature,classifier,accuracy,low_recall,med_recall,high_recall
Codon identity,RF,0.719186421256177,0.5513173417223751,0.6881720430107527,0.8158195783624775
Codon identity,KNN,0.678507484065029,0.4789618560755014,0.6640256555366912,0.7739826769079915
All computed,RF,0.6763589486500036,0.43413291388124264,0.6338426711941143,0.8138584736067985
Windowed dG (slide),RF,0.6731361455274655,0.5375540699960676,0.6408224863233353,0.7574767118810263
Fragment identity,RF,0.6724199670557903,0.4038537160833661,0.6495000943218261,0.8038895244320967
Windowed dG (slide),KNN,0.6510062307527036,0.45536767597325994,0.6061120543293718,0.7712044451707796
CAI,RF,0.6412662035379216,0.4435705859221392,0.6146010186757216,0.746527210328485
All computed,KNN,0.6343908902098403,0.39048368069209594,0.5930956423316356,0.7715312959633928
CAI + mRNA dG,RF,0.62028217431784,0.4270546598505702,0.5744199207696661,0.7403170452688348
CAI + mRNA dG,KNN,0.5610542147103058,0.3114431773495871,0.5255612148651198,0.6955384866808302
CAI,KNN,0.5387810642412089,0.2548171451042076,0.5387662705149971,0.6568066677561694
Fragment identity,KNN,0.5354150254243357,0.20290994887927644,0.5531031880777212,0.6582774963229285
mRNA stability,KNN,0.5148607032872592,0.29689343295320486,0.4853801169590643,0.6309854551397287
mRNA dG (scalar),RF,0.49853183413306595,0.5422729060165159,0.3091869458592718,0.6443863376368688
AA identity,KNN,0.48757430351643627,0.19622493118364137,0.4742501414827391,0.6201993789834941
UTR+CDS init fold,RF,0.48069899018835494,0.548957923712151,0.24712318430484814,0.6546821376041837
AA identity,RF,0.46035952159278093,0.21942587495084545,0.4338803999245425,0.5834286648145122
5prime ramp,KNN,0.4566353935400702,0.20841525756979945,0.431050745142426,0.5819578362477529
mRNA stability,RF,0.4547733295137148,0.3853716083366103,0.3982267496698736,0.5326033665631639
Codon-pair bias,KNN,0.4481844875743035,0.13999213527329926,0.45632899452933406,0.5692106553358391
Stall sites,RF,0.4375850461935114,0.2965001966181675,0.22920203735144312,0.6767445661055728
Codon-pair bias,RF,0.40986893933968344,0.2449862367282737,0.40011318619128466,0.4868442555973198
5prime ramp,RF,0.390030795674282,0.23633503735745182,0.38011695906432746,0.4624938715476385
Stall sites,KNN,0.1904318556184201,0.9866299646087299,0.02622146764761366,0.0017976793593724465
mRNA dG (scalar),KNN,0.18942920575807493,0.9929217459693276,0.022637238256932653,0.0
UTR+CDS init fold,KNN,0.18806846666189214,0.9956744003145891,0.017732503301263913,0.0
